# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.340775        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.60366003e+00	(7.77282994e-02 1.85570522e-01 5.06275103e-01)	10
0.341489        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.56661595e+00	(4.64378132e-02 1.91042209e-01 5.12650924e-01)	10
0.342208        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.56994516e+00	(4.65129801e-02 -1.91179308e-01 5.12739810e-01)	20
0.342927        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.57009573e+00	(4.01860873e-02 1.90632182e-01 5.12783175e-01)	10
0.343636        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.63053943e+00	(7.80266651e-02 1.85521175e-01 5.06627569e-01)	10
0.344334        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.55647931e+00	(4.03319297e-02 1.90597646e-01 5.12955168e-01)	10
0.345032        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.58617374e+00	(4.68062063e-02 -1.91219876e-01 5.13085648e-01)	20
0.345725        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.59606677e+00	(7.82423914e-02 1.85502582e-01 5.06881691e-01)	10
0.346409        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.67211705e+00	(7.83125082e-02 1.85470556e-01 5.06964150e-01)	10
0.347077        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.56225402e+00	(4.70163233e-02 -1.91270841e-01 5.13332818e-01)	20
0.347751        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.60224857e+00	(4.70851136e-02 -1.91258670e-01 5.13413619e-01)	20
0.348414        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.65340016e+00	(7.85171069e-02 1.85455332e-01 5.07204494e-01)	10
0.349073        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.71564329e+00	(7.85839453e-02 1.85417973e-01 5.07282895e-01)	10
0.349723        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.59698057e+00	(4.72853689e-02 -1.91312380e-01 5.13648590e-01)	20
0.350372        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.62074668e+00	(4.73509436e-02 -1.91294656e-01 5.13725434e-01)	20
0.351012        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.73024403e+00	(7.87794532e-02 1.85405943e-01 5.07512031e-01)	10
0.351648        	mag(U)          	0.00000000e+00	(-7.49507167e-02 5.00000000e-01 3.74984650e-01)	0	1.74610211e+00	(7.88431791e-02 1.85364014e-01 5.07586621e-01)	10
