# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.360667        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	5.11513809e+03	(2.33678839e-02 -2.12509619e-01 7.05582186e-01)	8
0.360704        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	2.95091774e+03	(2.33702556e-02 -2.14388472e-01 7.01349301e-01)	21
0.360732        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	9.55778761e+02	(2.32562101e-02 -2.06237920e-01 7.12217411e-01)	8
0.360765        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	2.78623597e+02	(1.70476916e-02 -2.06860263e-01 7.04892871e-01)	8
0.360805        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	1.92342159e+02	(2.88545773e-02 -2.13048962e-01 7.18366375e-01)	8
0.360853        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	1.60721887e+02	(2.75385835e-02 -2.06822822e-01 7.23906965e-01)	8
0.36091         	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	1.30699176e+02	(2.75437675e-02 -2.06846503e-01 7.23913695e-01)	8
0.360979        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	1.05173324e+02	(2.75499705e-02 -2.06879195e-01 7.23921747e-01)	8
0.361062        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	8.56800490e+01	(2.75574224e-02 -2.06936855e-01 7.23931421e-01)	8
0.361161        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	7.33072147e+01	(2.71973481e-02 -2.17406607e-01 7.41134689e-01)	21
0.361281        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	6.26859785e+01	(2.72046698e-02 -2.17424714e-01 7.41144212e-01)	21
0.361424        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	5.50747404e+01	(2.74651109e-02 -2.04909256e-01 7.41241601e-01)	8
0.361595        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	4.74788189e+01	(2.74757506e-02 -2.05026126e-01 7.41255404e-01)	8
0.3618          	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	4.27626115e+01	(3.28682534e-02 -2.18046983e-01 7.50362237e-01)	21
0.362049        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	3.79183693e+01	(3.31431321e-02 -2.05494933e-01 7.50474097e-01)	8
0.362343        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	3.31776927e+01	(3.31554328e-02 -2.05605801e-01 7.50490084e-01)	8
0.362691        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	2.84781262e+01	(3.31699269e-02 -2.05870382e-01 7.50508935e-01)	8
0.363121        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	2.39936025e+01	(3.31878437e-02 -2.05829394e-01 7.50532213e-01)	8
0.36365         	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	2.00937470e+01	(3.32098711e-02 -2.05536365e-01 7.50560819e-01)	8
0.364285        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	1.78711999e+01	(1.29734562e-02 -2.12536304e-01 7.87620223e-01)	8
0.365           	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	1.61235668e+01	(3.79634439e-02 -2.12565786e-01 7.87601876e-01)	8
0.365833        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	1.99684278e+02	(9.46614150e-02 1.09529907e-01 4.83039015e-01)	7
0.366875        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	2.12492485e+02	(9.21509915e-02 1.03897213e-01 4.94341395e-01)	7
0.367917        	mag(U)          	0.00000000e+00	(-1.15484950e-02 4.78354500e-03 3.31250000e-01)	0	4.41944588e+02	(3.66115316e-02 2.14371759e-01 6.97172298e-01)	14
