# Field minima and maxima
# Time          	field           	min             	location(min)   	processor       	max             	location(max)   	processor       
0.00720016      	mag(U)          	5.60200753e-04	(-1.50012087e-03 2.08333500e-03 -1.04166491e-03)	9	5.44084534e-01	(1.89419214e-01 9.97389333e-03 1.04167000e-03)	14
0.0104553       	mag(U)          	5.78118693e-04	(2.93033839e-03 -2.08333500e-03 -1.04166491e-03)	9	5.31693630e-01	(1.89683003e-01 9.97389333e-03 1.04167000e-03)	14
0.0137361       	mag(U)          	6.21724602e-04	(3.19599330e-03 -2.08333500e-03 -1.04166491e-03)	9	5.23496600e-01	(1.89948658e-01 9.97389333e-03 1.04167000e-03)	14
0.0170037       	mag(U)          	6.87935747e-04	(3.46007385e-03 2.08333500e-03 -1.04166491e-03)	9	5.09674344e-01	(1.90212739e-01 -9.97389333e-03 1.04167000e-03)	9
0.0202525       	mag(U)          	7.87628580e-04	(3.72213826e-03 2.08333500e-03 -1.04166491e-03)	9	4.86864741e-01	(1.90474803e-01 -9.97389333e-03 1.04167000e-03)	9
0.0235219       	mag(U)          	9.29108065e-04	(3.98507271e-03 2.08333500e-03 -1.04166491e-03)	9	4.53788532e-01	(1.90737738e-01 -9.97389333e-03 1.04167000e-03)	9
0.0268893       	mag(U)          	1.12141376e-03	(4.25524662e-03 2.08333500e-03 -1.04166491e-03)	9	4.11337005e-01	(1.91007912e-01 -9.97389333e-03 1.04167000e-03)	9
0.0304158       	mag(U)          	1.37355833e-03	(4.53821671e-03 2.08333500e-03 -1.04166491e-03)	9	3.63527927e-01	(1.91290882e-01 -9.97389333e-03 1.04167000e-03)	9
0.0342123       	mag(U)          	1.70125707e-03	(4.84243744e-03 2.08333500e-03 -1.04166491e-03)	9	3.09311930e-01	(1.91595102e-01 -9.97389333e-03 1.04167000e-03)	9
0.0384383       	mag(U)          	2.13469666e-03	(5.17900013e-03 2.08333500e-03 -1.04166491e-03)	9	2.67679120e-01	(1.91388869e-01 2.06217863e-03 1.04166997e-03)	14
0.043186        	mag(U)          	2.65690348e-03	(9.72180307e-03 -2.08333500e-03 -1.04166491e-03)	9	2.38882901e-01	(-1.78722912e-01 2.71750707e-02 9.37501500e-03)	21
0.0485359       	mag(U)          	3.13850056e-03	(1.01435301e-02 -2.08333500e-03 -1.04166491e-03)	9	2.30449104e-01	(-1.73792751e-01 1.05429045e-02 9.37501500e-03)	21
0.0545766       	mag(U)          	3.82712467e-03	(1.06164683e-02 -2.08333500e-03 -1.04166491e-03)	9	2.14357773e-01	(-1.73319813e-01 1.05429045e-02 9.37501500e-03)	21
0.0613385       	mag(U)          	4.78341995e-03	(1.11403171e-02 -2.08333500e-03 -1.04166491e-03)	9	2.10733425e-01	(-1.68571905e-01 1.05120730e-02 1.14583500e-02)	21
0.0687408       	mag(U)          	6.05404687e-03	(1.17083681e-02 -2.08333500e-03 -1.04166491e-03)	9	2.07751741e-01	(-1.68003854e-01 1.05120730e-02 1.14583500e-02)	21
0.0762545       	mag(U)          	7.57264768e-03	(1.22763562e-02 -2.08333500e-03 -1.04166491e-03)	9	1.97856077e-01	(-1.54692376e-01 -5.21800162e-02 1.14583500e-02)	21
0.0840569       	mag(U)          	9.38945795e-03	(1.28574639e-02 -2.08333500e-03 -1.04166491e-03)	9	2.02606635e-01	(-1.62421618e-01 2.09975183e-03 1.35416499e-02)	21
0.0921393       	mag(U)          	1.14176686e-02	(1.76145408e-02 2.08333500e-03 -1.04166491e-03)	9	2.06785176e-01	(-1.57723625e-01 -6.28602421e-03 1.35416875e-02)	21
0.100475        	mag(U)          	1.37295687e-02	(1.82117728e-02 2.08333500e-03 -1.04166491e-03)	9	2.10773988e-01	(-1.48776195e-01 -3.54847567e-02 1.35416750e-02)	21
0.109016        	mag(U)          	1.59475249e-02	(2.71416763e-02 2.08333500e-03 1.04167008e-03)	9	2.16288827e-01	(-1.39711783e-01 -4.79760942e-02 1.35416750e-02)	21
0.117793        	mag(U)          	1.37649572e-02	(1.82115171e-01 2.10441263e-03 -3.12500003e-03)	9	2.22527571e-01	(-1.30744305e-01 6.04895579e-02 1.35417000e-02)	20
0.126915        	mag(U)          	1.15864820e-02	(1.78621619e-01 2.10000045e-03 -3.12500004e-03)	9	2.29845236e-01	(-1.25949373e-01 6.04787994e-02 1.35416875e-02)	20
0.136302        	mag(U)          	3.87711270e-03	(-1.46300719e-01 -2.09029526e-03 3.22916501e-02)	19	2.39644603e-01	(-1.37887594e-01 2.08715247e-03 1.56250250e-02)	21
0.145995        	mag(U)          	2.29928412e-03	(1.63077846e-01 6.26641781e-03 -3.12500000e-03)	9	2.50182247e-01	(-1.33092023e-01 2.08608265e-03 1.56250250e-02)	21
0.15593         	mag(U)          	1.96092573e-03	(1.55239120e-01 2.08645562e-03 -1.04166501e-03)	9	2.59407143e-01	(-1.28314887e-01 2.08525260e-03 1.56250250e-02)	21
0.165093        	mag(U)          	1.80348340e-03	(1.38993096e-01 2.08418099e-03 -1.04166623e-03)	9	2.69229148e-01	(-1.11095820e-01 5.62763081e-02 1.35417000e-02)	20
0.173383        	mag(U)          	1.41495742e-03	(1.02069349e-02 1.81013953e-01 9.37501499e-03)	13	2.79627085e-01	(-1.10644451e-01 4.79330083e-02 1.35416958e-02)	20
0.180926        	mag(U)          	9.77582404e-04	(-1.01902082e-01 2.08355740e-03 4.47916588e-02)	19	2.86534435e-01	(-1.10256850e-01 -3.95938500e-02 1.35417000e-02)	21
0.187991        	mag(U)          	7.58474356e-04	(1.09767025e-02 1.88286779e-01 2.18749752e-02)	13	2.91813372e-01	(-1.05739709e-01 -3.95911250e-02 1.35417000e-02)	21
0.194767        	mag(U)          	4.68846746e-04	(7.79276106e-02 2.08333500e-03 5.20833500e-03)	9	2.95855597e-01	(-1.09596769e-01 2.08379226e-03 1.35416500e-02)	21
0.201276        	mag(U)          	2.83638097e-04	(4.90450528e-02 -2.08333500e-03 3.12500500e-03)	9	2.99357245e-01	(-1.05138109e-01 -2.08365350e-03 1.35416625e-02)	21
0.207576        	mag(U)          	2.09868336e-04	(-1.31947969e-02 2.08335091e-03 6.77105504e-02)	17	3.00912089e-01	(-1.04877709e-01 -2.08365350e-03 1.35416625e-02)	21
0.213649        	mag(U)          	5.78250066e-04	(7.86038917e-03 1.52331513e-01 7.60420480e-02)	12	2.99612624e-01	(-1.04639849e-01 -2.08365350e-03 1.35416625e-02)	21
0.219563        	mag(U)          	4.36776802e-04	(1.22412935e-02 -1.73142207e-01 8.12496090e-02)	18	2.95854070e-01	(-1.00249314e-01 -2.08355928e-03 1.35416750e-02)	21
0.225308        	mag(U)          	1.18202475e-04	(1.03575047e-02 -1.54615535e-01 1.04168902e-01)	18	2.93679632e-01	(-1.00049712e-01 -2.08354262e-03 1.14583500e-02)	21
0.230928        	mag(U)          	1.91123041e-04	(6.39341718e-03 -8.33659586e-03 1.58661187e-01)	11	2.95270659e-01	(-9.98654425e-02 -2.08354262e-03 1.14583500e-02)	21
0.236369        	mag(U)          	1.55159862e-04	(1.07293644e-02 4.16649132e-03 1.87954707e-01)	11	2.95885325e-01	(-9.55283088e-02 -2.08347008e-03 1.14583500e-02)	21
0.241701        	mag(U)          	5.61094672e-05	(1.29645319e-02 7.70835000e-02 2.19282982e-01)	11	2.95575627e-01	(-9.53761413e-02 -2.08347008e-03 1.14583500e-02)	21
0.246914        	mag(U)          	8.84509522e-05	(1.31025494e-02 -1.10416750e-01 2.23184572e-01)	11	2.92499188e-01	(-9.52381232e-02 -2.08347008e-03 1.14583500e-02)	21
0.251942        	mag(U)          	1.89375113e-04	(1.32249537e-02 1.52112964e-01 2.15096841e-01)	12	2.90991235e-01	(-9.51150769e-02 -2.08347008e-03 9.37501500e-03)	21
0.256914        	mag(U)          	2.10884761e-04	(1.75151084e-02 1.81254041e-01 2.19308172e-01)	12	2.92566386e-01	(-9.50028648e-02 -2.08347008e-03 9.37501500e-03)	21
