# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.11           7.910420e-02 -1.493721e-02 8.055345e-01 7.887223e-02 -1.493475e-02 8.047151e-01 2.319654e-04 -2.454453e-06 8.193838e-04
0.12           7.336087e-02 -1.997638e-03 6.402119e-01 7.310035e-02 -1.994383e-03 6.394197e-01 2.605131e-04 -3.255004e-06 7.921346e-04
0.13           7.785268e-02 1.862453e-02 6.390359e-01 7.756220e-02 1.862065e-02 6.382757e-01 2.904878e-04 3.883659e-06 7.602732e-04
0.14           8.101403e-02 7.030023e-04 6.402477e-01 8.069278e-02 6.987811e-04 6.395214e-01 3.212513e-04 4.221152e-06 7.263295e-04
0.15           8.449108e-02 -2.350054e-02 6.409628e-01 8.413808e-02 -2.349572e-02 6.402729e-01 3.529968e-04 -4.811636e-06 6.898375e-04
0.16           8.801102e-02 1.988673e-03 6.414488e-01 8.762543e-02 1.992788e-03 6.407981e-01 3.855889e-04 -4.115012e-06 6.507189e-04
0.17           9.142473e-02 2.926618e-02 6.417676e-01 9.100587e-02 2.925900e-02 6.411587e-01 4.188577e-04 7.186167e-06 6.089567e-04
0.18           9.467515e-02 -5.832986e-03 6.419749e-01 9.422257e-02 -5.837998e-03 6.414103e-01 4.525772e-04 5.012151e-06 5.646128e-04
0.19           9.790006e-02 -3.580861e-02 6.421668e-01 9.741348e-02 -3.579976e-02 6.416490e-01 4.865851e-04 -8.856336e-06 5.178078e-04
0.2            1.007975e-01 1.153882e-02 6.421817e-01 1.002769e-01 1.154325e-02 6.417132e-01 5.205581e-04 -4.429753e-06 4.685417e-04
0.21           1.036551e-01 4.335730e-02 6.421903e-01 1.031007e-01 4.334488e-02 6.417733e-01 5.543287e-04 1.242284e-05 4.169701e-04
0.22           1.062261e-01 -1.918876e-02 6.422667e-01 1.056385e-01 -1.919371e-02 6.419033e-01 5.875829e-04 4.949194e-06 3.633402e-04
0.23           1.084977e-01 -5.171028e-02 6.422233e-01 1.078776e-01 -5.169512e-02 6.419156e-01 6.200983e-04 -1.515572e-05 3.077120e-04
0.24           1.102822e-01 2.991806e-02 6.420904e-01 1.096306e-01 2.992153e-02 6.418403e-01 6.515749e-04 -3.474084e-06 2.501843e-04
0.25           1.117904e-01 6.075843e-02 6.422105e-01 1.111086e-01 6.073824e-02 6.420193e-01 6.818346e-04 2.019662e-05 1.912044e-04
0.26           1.130032e-01 -4.395227e-02 6.422360e-01 1.122926e-01 -4.395540e-02 6.421051e-01 7.105649e-04 3.124643e-06 1.308937e-04
0.27           1.134155e-01 -7.052263e-02 6.419592e-01 1.126780e-01 -7.049822e-02 6.418900e-01 7.375115e-04 -2.441100e-05 6.913366e-05
0.28           1.135366e-01 6.269262e-02 6.419767e-01 1.127741e-01 6.269266e-02 6.419702e-01 7.624792e-04 -4.755680e-08 6.458218e-06
0.29           1.115192e-01 7.981825e-02 6.426086e-01 1.107345e-01 7.978706e-02 6.426649e-01 7.846899e-04 3.118561e-05 -5.629354e-05
0.3            1.106954e-01 -8.748236e-02 6.424650e-01 1.098912e-01 -8.747951e-02 6.425847e-01 8.041711e-04 -2.850183e-06 -1.196452e-04
