# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.11           4.894248e-03 2.695679e-02 1.876600e-09 4.893447e-03 2.687966e-02 4.085310e-11 8.015896e-07 7.713158e-05 1.835747e-09
0.12           6.449160e-04 2.508440e-02 1.583201e-09 6.438557e-04 2.499741e-02 5.404311e-11 1.060318e-06 8.698808e-05 1.529157e-09
0.13           -6.119846e-03 2.681526e-02 -8.656257e-10 -6.118569e-03 2.671783e-02 -1.530835e-11 -1.277499e-06 9.743486e-05 -8.503173e-10
0.14           -2.298395e-04 2.810727e-02 -2.347717e-10 -2.284515e-04 2.799900e-02 -1.015144e-10 -1.387997e-06 1.082687e-04 -1.332573e-10
0.15           7.740240e-03 2.952567e-02 3.297760e-09 7.738665e-03 2.940612e-02 9.486722e-12 1.575657e-06 1.195502e-04 3.288273e-09
0.16           -6.594197e-04 3.097680e-02 1.910619e-09 -6.607651e-04 3.084556e-02 1.547672e-10 1.345390e-06 1.312382e-04 1.755852e-09
0.17           -9.668900e-03 3.240593e-02 -3.103598e-09 -9.666528e-03 3.226265e-02 -4.441157e-11 -2.372201e-06 1.432805e-04 -3.059186e-09
0.18           1.927468e-03 3.379177e-02 -4.981354e-10 1.929127e-03 3.363617e-02 -2.756744e-10 -1.658537e-06 1.556010e-04 -2.224610e-10
0.19           1.185446e-02 3.517980e-02 6.258591e-09 1.185154e-02 3.501166e-02 4.357050e-11 2.911991e-06 1.681402e-04 6.215020e-09
0.2            -3.826143e-03 3.646800e-02 1.777360e-09 -3.827595e-03 3.628721e-02 4.753128e-10 1.452853e-06 1.807846e-04 1.302047e-09
0.21           -1.438659e-02 3.774963e-02 -7.046756e-09 -1.438248e-02 3.755616e-02 -1.018352e-10 -4.113422e-06 1.934694e-04 -6.944921e-09
0.22           6.370895e-03 3.894197e-02 -1.752742e-10 6.372543e-03 3.873589e-02 -9.464509e-10 -1.647904e-06 2.060801e-04 7.711767e-10
0.23           1.718494e-02 4.003945e-02 1.124283e-08 1.717994e-02 3.982092e-02 3.117500e-10 5.003096e-06 2.185304e-04 1.093108e-08
0.24           -9.940435e-03 4.098766e-02 2.133852e-10 -9.941575e-03 4.075696e-02 1.023078e-09 1.139563e-06 2.307019e-04 -8.096925e-10
0.25           -2.022790e-02 4.184087e-02 -1.344716e-08 -2.022119e-02 4.159835e-02 -5.870134e-10 -6.703364e-06 2.425207e-04 -1.286014e-08
0.26           1.460089e-02 4.258589e-02 3.513513e-09 1.460194e-02 4.233203e-02 -5.822791e-10 -1.054428e-06 2.538632e-04 4.095792e-09
0.27           2.352072e-02 4.306025e-02 1.823826e-08 2.351264e-02 4.279563e-02 5.674048e-10 8.083221e-06 2.646266e-04 1.767085e-08
0.28           -2.082022e-02 4.339831e-02 -5.965507e-09 -2.082025e-02 4.312359e-02 1.980560e-10 2.666723e-08 2.747237e-04 -6.163563e-09
0.29           -2.667448e-02 4.289457e-02 -2.111544e-08 -2.666412e-02 4.261075e-02 -3.259357e-10 -1.036025e-05 2.838258e-04 -2.078950e-08
0.3            2.916455e-02 4.287192e-02 1.203393e-08 2.916361e-02 4.258001e-02 1.809442e-10 9.407679e-07 2.919193e-04 1.185298e-08
