# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.36075        2.910747e+00 -1.416654e+02 3.082247e+01 2.910053e+00 -1.416645e+02 3.082206e+01 6.947600e-04 -8.400030e-04 4.168768e-04
0.360783       -3.201644e+00 -1.523635e+02 -7.520735e-02 -3.202333e+00 -1.523626e+02 -7.562295e-02 6.888273e-04 -8.922666e-04 4.156021e-04
0.36082        2.254133e+00 2.540975e+02 5.562507e+00 2.253446e+00 2.540983e+02 5.562082e+00 6.867220e-04 -7.703581e-04 4.252325e-04
0.360865       2.826340e+00 5.972359e+01 2.543980e+00 2.825654e+00 5.972433e+01 2.543551e+00 6.854641e-04 -7.349979e-04 4.290374e-04
0.360918       1.407132e+00 -2.857536e+02 -2.292013e+00 1.406448e+00 -2.857527e+02 -2.292433e+00 6.835493e-04 -9.244503e-04 4.192006e-04
0.360981       9.818600e-01 -4.165741e+01 8.971481e-01 9.811781e-01 -4.165646e+01 8.967291e-01 6.819974e-04 -9.550150e-04 4.189129e-04
0.361056       2.055022e+00 3.269856e+02 5.570756e+00 2.054340e+00 3.269863e+02 5.570318e+00 6.824324e-04 -6.479382e-04 4.377812e-04
0.361144       1.351155e+00 -1.269264e+01 1.076998e+00 1.350473e+00 -1.269198e+01 1.076560e+00 6.818897e-04 -6.618215e-04 4.378247e-04
0.361247       1.412131e-01 -3.697870e+02 -3.261424e+00 1.405337e-01 -3.697859e+02 -3.261838e+00 6.794327e-04 -1.138573e-03 4.132162e-04
0.361372       4.708326e-01 7.553651e+01 2.197030e+00 4.701540e-01 7.553753e+01 2.196609e+00 6.786064e-04 -1.018164e-03 4.215076e-04
0.36152        1.539718e+00 3.991435e+02 5.687441e+00 1.539037e+00 3.991438e+02 5.686982e+00 6.812095e-04 -2.790947e-04 4.592799e-04
0.361705       1.168528e+00 -1.581014e+02 -5.048113e-01 1.167849e+00 -1.581008e+02 -5.052546e-01 6.792967e-04 -6.457094e-04 4.432402e-04
0.361921       -2.996904e-01 -4.247807e+02 -2.823719e+00 -3.003657e-01 -4.247789e+02 -2.824116e+00 6.752486e-04 -1.792743e-03 3.973354e-04
0.362191       -1.476808e-01 2.515889e+02 3.503302e+00 -1.483591e-01 2.515898e+02 3.502868e+00 6.783164e-04 -9.420351e-04 4.346352e-04
0.362461       1.296655e+00 4.913903e+02 5.080910e+00 1.295972e+00 4.913895e+02 5.080418e+00 6.823377e-04 7.167580e-04 4.918890e-04
0.36273        -1.097383e+00 -3.673387e+02 -1.985008e+00 -1.098058e+00 -3.673382e+02 -1.985455e+00 6.751569e-04 -5.409887e-04 4.475260e-04
0.363          4.843460e-02 -5.646511e+02 -2.153018e+00 4.776337e-02 -5.646487e+02 -2.153419e+00 6.712306e-04 -2.446681e-03 4.012791e-04
0.363333       -3.837684e-01 5.428932e+02 4.128646e+00 -3.844481e-01 5.428934e+02 4.128190e+00 6.796967e-04 -1.756751e-04 4.558077e-04
0.363714       2.342330e+00 5.472641e+02 5.026037e+00 2.341647e+00 5.472617e+02 5.025507e+00 6.826244e-04 2.435801e-03 5.298325e-04
0.364171       -1.764790e+00 -6.978396e+02 -3.336447e+00 -1.765470e+00 -6.978380e+02 -3.336868e+00 6.803066e-04 -1.573469e-03 4.216776e-04
0.364781       1.021240e+00 -4.374636e+02 3.308001e+00 1.020558e+00 -4.374587e+02 3.307497e+00 6.821793e-04 -4.918966e-03 5.037715e-04
0.36539        -1.531163e+00 8.361764e+02 -1.447952e+00 -1.531847e+00 8.361749e+02 -1.448350e+00 6.842817e-04 1.490536e-03 3.980677e-04
0.366          1.975568e+00 4.823032e+02 4.470877e+00 1.974893e+00 4.822981e+02 4.470381e+00 6.754204e-04 5.174370e-03 4.968287e-04
0.36675        -8.246283e-01 -1.072901e+03 1.651046e+00 -8.253222e-01 -1.072896e+03 1.650558e+00 6.938733e-04 -4.969316e-03 4.879161e-04
0.366882       7.598896e+00 -4.504599e+03 3.240179e+01 7.598188e+00 -4.504586e+03 3.240108e+01 7.075608e-04 -1.242506e-02 7.058994e-04
0.367045       -3.190740e+00 3.904333e+03 -2.059054e+01 -3.191444e+00 3.904337e+03 -2.059111e+01 7.042481e-04 -4.422379e-03 5.714079e-04
0.367241       -1.706049e+00 3.394120e+03 -2.858171e+01 -1.706732e+00 3.394116e+03 -2.858195e+01 6.830447e-04 3.903876e-03 2.422019e-04
0.367461       1.204199e+01 -4.444343e+03 6.041166e+01 1.204124e+01 -4.444334e+03 6.041072e+01 7.468030e-04 -8.367961e-03 9.387271e-04
0.367717       2.545820e+01 -3.456935e+03 1.225652e+02 2.545730e+01 -3.456916e+03 1.225625e+02 9.010433e-04 -1.952012e-02 2.726667e-03
