# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
0.36075        4.652019e+01 1.159579e+00 -3.228396e-06 4.651990e+01 1.159307e+00 -3.231559e-06 2.908331e-04 2.721551e-04 3.162371e-09
0.360783       5.012435e+01 -9.771149e-01 2.781680e-05 5.012404e+01 -9.773847e-01 2.782420e-05 3.090096e-04 2.697386e-04 -7.396033e-09
0.36082        -8.335896e+01 8.683475e-01 1.849871e-05 -8.335923e+01 8.680786e-01 1.851014e-05 2.668035e-04 2.688438e-04 -1.143734e-08
0.360865       -1.959762e+01 1.008422e+00 4.762635e-06 -1.959787e+01 1.008154e+00 4.775825e-06 2.545498e-04 2.683015e-04 -1.319032e-08
0.360918       9.386814e+01 4.449595e-01 -1.983050e-06 9.386782e+01 4.446920e-01 -1.967701e-06 3.202179e-04 2.674856e-04 -1.534954e-08
0.360981       1.372461e+01 3.362178e-01 3.313061e-06 1.372428e+01 3.359509e-01 3.331037e-06 3.308171e-04 2.668312e-04 -1.797624e-08
0.361056       -1.073741e+02 7.652678e-01 9.101438e-06 -1.073743e+02 7.650008e-01 9.121131e-06 2.243877e-04 2.670086e-04 -1.969340e-08
0.361144       4.169392e+00 4.665625e-01 -9.052970e-08 4.169163e+00 4.662958e-01 -7.103731e-08 2.291658e-04 2.667828e-04 -1.949239e-08
0.361247       1.214613e+02 -5.074038e-03 -4.402868e-06 1.214609e+02 -5.339797e-03 -4.381930e-06 3.944127e-04 2.657587e-04 -2.093834e-08
0.361372       -2.478246e+01 1.786881e-01 7.697348e-06 -2.478281e+01 1.784227e-01 7.722255e-06 3.526834e-04 2.654344e-04 -2.490755e-08
0.36152        -1.310999e+02 5.929053e-01 6.777653e-06 -1.311000e+02 5.926388e-01 6.806325e-06 9.650482e-05 2.665413e-04 -2.867223e-08
0.361705       5.191173e+01 3.853334e-01 3.939848e-06 5.191151e+01 3.850676e-01 3.963065e-06 2.234811e-04 2.658129e-04 -2.321733e-08
0.361921       1.395270e+02 -1.471115e-01 -6.344346e-06 1.395264e+02 -1.473756e-01 -6.324413e-06 6.211152e-04 2.641660e-04 -1.993290e-08
0.362191       -8.261533e+01 5.926774e-03 6.421437e-06 -8.261566e+01 5.661465e-03 6.452923e-06 3.262722e-04 2.653096e-04 -3.148579e-08
0.362461       -1.614158e+02 4.925620e-01 7.453990e-06 -1.614156e+02 4.922949e-01 7.499966e-06 -2.488220e-04 2.670871e-04 -4.597667e-08
0.36273        1.206790e+02 -3.905818e-01 -7.639633e-06 1.206788e+02 -3.908461e-01 -7.616875e-06 1.868896e-04 2.643545e-04 -2.275761e-08
0.363          1.854808e+02 -2.194321e-02 -8.044443e-06 1.854800e+02 -2.220599e-02 -8.032716e-06 8.476524e-04 2.627728e-04 -1.172683e-08
0.363333       -1.783370e+02 -6.665798e-02 8.054375e-06 -1.783371e+02 -6.692391e-02 8.091890e-06 6.039296e-05 2.659281e-04 -3.751572e-08
0.363714       -1.797976e+02 8.144924e-01 1.009885e-05 -1.797968e+02 8.142249e-01 1.016355e-05 -8.452774e-04 2.675164e-04 -6.470308e-08
0.364171       2.292245e+02 -6.351626e-01 -9.206033e-06 2.292240e+02 -6.354287e-01 -9.213217e-06 5.448461e-04 2.660602e-04 7.184923e-09
0.364781       1.437367e+02 3.796684e-01 -2.182840e-06 1.437350e+02 3.794013e-01 -2.238003e-06 1.705363e-03 2.671885e-04 5.516306e-08
0.36539        -2.747370e+02 -5.500541e-01 9.465914e-06 -2.747365e+02 -5.503217e-01 9.562864e-06 -5.172492e-04 2.676761e-04 -9.694966e-08
0.366          -1.585052e+02 6.816150e-01 5.059114e-06 -1.585034e+02 6.813500e-01 5.205869e-06 -1.795357e-03 2.649903e-04 -1.467553e-07
0.36675        3.525684e+02 -2.550232e-01 -1.097726e-05 3.525667e+02 -2.552951e-01 -1.114037e-05 1.722546e-03 2.719273e-04 1.631039e-07
0.366882       1.480474e+03 2.868099e+00 -6.666998e-05 1.480469e+03 2.867821e+00 -6.683112e-05 4.308153e-03 2.779635e-04 1.611337e-07
0.367045       -1.283104e+03 -1.218786e+00 4.360451e-05 -1.283105e+03 -1.219063e+00 4.347857e-05 1.532482e-03 2.770586e-04 1.259377e-07
0.367241       -1.115559e+03 -1.006834e+00 6.475956e-05 -1.115557e+03 -1.007103e+00 6.465183e-05 -1.356125e-03 2.687016e-04 1.077328e-07
0.367461       1.460518e+03 4.904350e+00 -5.169139e-05 1.460515e+03 4.904054e+00 -5.191315e-05 2.899046e-03 2.958996e-04 2.217572e-07
0.367717       1.136299e+03 1.028043e+01 -4.394150e-05 1.136292e+03 1.028007e+01 -4.418304e-05 6.767421e-03 3.611479e-04 2.415409e-07
