# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
2.20005e-05    3.269456e-02 -5.877243e-04 9.659966e+01 3.269455e-02 -5.877252e-04 9.659892e+01 1.556556e-08 9.130096e-10 7.450416e-04
3.64017e-05    2.751068e-02 -1.371709e-03 -7.805849e+01 2.751065e-02 -1.371709e-03 -7.805913e+01 2.994399e-08 1.454248e-10 6.385424e-04
5.36833e-05    2.833024e-02 -3.321050e-05 1.143886e+00 2.833019e-02 -3.321049e-05 1.143246e+00 4.819726e-08 -1.059132e-11 6.394309e-04
7.44211e-05    2.970259e-02 1.032235e-03 8.309456e-01 2.970252e-02 1.032234e-03 8.303056e-01 7.108035e-08 8.411772e-10 6.400589e-04
9.93055e-05    2.968617e-02 -1.001349e-03 7.136341e-01 2.968607e-02 -1.001349e-03 7.129935e-01 9.845819e-08 -3.256204e-11 6.405412e-04
0.000129165    2.964700e-02 -1.310654e-03 6.418218e-01 2.964687e-02 -1.310652e-03 6.411809e-01 1.311107e-07 -1.414281e-09 6.409205e-04
0.00016499     2.968971e-02 2.073143e-03 5.969079e-01 2.968954e-02 2.073142e-03 5.962667e-01 1.703212e-07 1.389216e-09 6.412255e-04
0.000207972    2.970003e-02 1.085406e-03 5.682352e-01 2.969981e-02 1.085403e-03 5.675937e-01 2.174043e-07 3.264541e-09 6.414760e-04
0.000259549    2.969649e-02 -3.096074e-03 5.497380e-01 2.969622e-02 -3.096071e-03 5.490963e-01 2.738770e-07 -2.701325e-09 6.416870e-04
0.000321429    2.972095e-02 -4.727224e-04 5.376218e-01 2.972060e-02 -4.727187e-04 5.369800e-01 3.417336e-07 -3.624427e-09 6.418695e-04
0.000395657    2.971799e-02 4.471385e-03 5.294939e-01 2.971757e-02 4.471376e-03 5.288519e-01 4.231251e-07 8.840974e-09 6.420311e-04
0.000484757    2.972289e-02 -7.922159e-04 5.240019e-01 2.972237e-02 -7.922222e-04 5.233597e-01 5.208721e-07 6.372542e-09 6.421788e-04
0.000591659    2.971668e-02 -5.868072e-03 5.201792e-01 2.971605e-02 -5.868055e-03 5.195369e-01 6.382710e-07 -1.713491e-08 6.423167e-04
0.000719941    2.974396e-02 3.032814e-03 5.175137e-01 2.974318e-02 3.032816e-03 5.168713e-01 7.791059e-07 -2.201410e-09 6.424492e-04
0.000873879    2.974772e-02 7.094480e-03 5.156125e-01 2.974677e-02 7.094441e-03 5.149700e-01 9.483607e-07 3.869429e-08 6.425797e-04
0.00105849     2.980935e-02 -6.479096e-03 5.142376e-01 2.980819e-02 -6.479090e-03 5.135949e-01 1.151550e-06 -5.703718e-09 6.427109e-04
0.00127986     2.980837e-02 -7.650515e-03 5.132308e-01 2.980697e-02 -7.650446e-03 5.125880e-01 1.395104e-06 -6.907503e-08 6.428460e-04
0.00154526     2.985237e-02 1.144190e-02 5.124899e-01 2.985068e-02 1.144185e-02 5.118469e-01 1.687946e-06 4.551429e-08 6.429872e-04
0.00186392     2.984989e-02 6.773779e-03 5.119380e-01 2.984785e-02 6.773653e-03 5.112949e-01 2.040077e-06 1.262960e-07 6.431368e-04
0.00224581     2.993612e-02 -1.797497e-02 5.115334e-01 2.993366e-02 -1.797484e-02 5.108901e-01 2.463443e-06 -1.311279e-07 6.432962e-04
0.0027048      2.992839e-02 -3.422461e-03 5.112355e-01 2.992542e-02 -3.422271e-03 5.105921e-01 2.972645e-06 -1.903812e-07 6.434673e-04
0.00325454     3.004008e-02 2.589532e-02 5.110443e-01 3.003649e-02 2.589498e-02 5.104006e-01 3.584828e-06 3.420013e-07 6.436513e-04
0.00391274     3.012201e-02 -3.757966e-03 5.109179e-01 3.011769e-02 -3.758215e-03 5.102741e-01 4.320054e-06 2.492091e-07 6.438478e-04
0.00470043     3.018911e-02 -3.452871e-02 5.108622e-01 3.018391e-02 -3.452794e-02 5.102181e-01 5.203706e-06 -7.698058e-07 6.440561e-04
0.00564408     3.030534e-02 1.654829e-02 5.108740e-01 3.029907e-02 1.654848e-02 5.102297e-01 6.268149e-06 -1.873751e-07 6.442736e-04
0.00678102     3.030290e-02 4.207946e-02 5.109555e-01 3.029535e-02 4.207785e-02 5.103110e-01 7.552162e-06 1.603422e-06 6.444951e-04
0.00815204     3.048382e-02 -3.673644e-02 5.110689e-01 3.047471e-02 -3.673616e-02 5.104242e-01 9.112175e-06 -2.759293e-07 6.447034e-04
0.00979236     3.069622e-02 -4.619902e-02 5.112644e-01 3.068523e-02 -4.619590e-02 5.106195e-01 1.099364e-05 -3.120112e-06 6.448785e-04
0.0117536      3.113246e-02 6.624035e-02 5.115625e-01 3.111918e-02 6.623862e-02 5.109175e-01 1.327280e-05 1.726084e-06 6.449938e-04
0.0141389      3.095869e-02 4.134167e-02 5.119545e-01 3.094263e-02 4.133623e-02 5.113095e-01 1.605383e-05 5.443493e-06 6.450051e-04
0.0170013      3.163650e-02 -1.051143e-01 5.123964e-01 3.161705e-02 -1.051085e-01 5.117515e-01 1.945494e-05 -5.815781e-06 6.448299e-04
0.0203216      3.252472e-02 -2.546745e-02 5.129268e-01 3.250121e-02 -2.545841e-02 5.122824e-01 2.351034e-05 -9.043853e-06 6.443676e-04
0.0241163      3.306746e-02 1.582028e-01 5.135392e-01 3.303919e-02 1.581893e-01 5.128956e-01 2.826587e-05 1.346959e-05 6.435060e-04
0.0283326      3.417648e-02 -1.105575e-02 5.141311e-01 3.414275e-02 -1.106753e-02 5.134890e-01 3.373206e-05 1.177356e-05 6.421018e-04
0.0328125      3.575505e-02 -2.321406e-01 5.147320e-01 3.571527e-02 -2.321134e-01 5.140919e-01 3.977789e-05 -2.722316e-05 6.401006e-04
0.0372923      3.749262e-02 7.883562e-02 5.149719e-01 3.744654e-02 7.884964e-02 5.143345e-01 4.608344e-05 -1.402253e-05 6.374201e-04
