# Force       
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
2.20005e-05    3.448548e-02 4.444595e-04 9.659903e+01 3.448547e-02 4.444585e-04 9.659829e+01 1.601612e-08 1.012562e-09 7.450409e-04
3.64017e-05    2.640197e-02 -4.552730e-03 -7.805919e+01 2.640194e-02 -4.552729e-03 -7.805983e+01 3.012846e-08 -6.374133e-10 6.385411e-04
5.36833e-05    2.796861e-02 8.900892e-04 1.144847e+00 2.796856e-02 8.900896e-04 1.144207e+00 4.818396e-08 -3.552477e-10 6.394311e-04
7.44211e-05    2.969087e-02 9.432163e-04 8.309295e-01 2.969080e-02 9.432159e-04 8.302894e-01 7.097831e-08 4.198113e-10 6.400591e-04
9.93055e-05    2.964767e-02 -8.459716e-04 7.136080e-01 2.964757e-02 -8.459714e-04 7.129675e-01 9.823198e-08 -2.112764e-10 6.405414e-04
0.000129165    2.965017e-02 -7.993544e-04 6.418187e-01 2.965004e-02 -7.993533e-04 6.411778e-01 1.310240e-07 -1.119463e-09 6.409207e-04
0.00016499     2.968893e-02 1.150868e-03 5.968863e-01 2.968876e-02 1.150867e-03 5.962451e-01 1.703731e-07 1.064487e-10 6.412256e-04
0.000207972    2.970219e-02 3.980785e-04 5.682321e-01 2.970197e-02 3.980775e-04 5.675906e-01 2.176232e-07 9.204707e-10 6.414761e-04
0.000259549    2.971055e-02 -1.089079e-03 5.497556e-01 2.971028e-02 -1.089078e-03 5.491139e-01 2.743287e-07 -8.072431e-10 6.416872e-04
0.000321429    2.970615e-02 -7.357979e-05 5.375964e-01 2.970581e-02 -7.357858e-05 5.369545e-01 3.424221e-07 -1.207618e-09 6.418695e-04
0.000395657    2.973506e-02 1.060308e-03 5.294863e-01 2.973464e-02 1.060307e-03 5.288443e-01 4.241885e-07 1.378443e-09 6.420311e-04
0.000484757    2.972498e-02 -2.115480e-04 5.240057e-01 2.972446e-02 -2.115491e-04 5.233635e-01 5.223242e-07 1.138314e-09 6.421788e-04
0.000591659    2.972012e-02 -9.117736e-04 5.201826e-01 2.971948e-02 -9.117719e-04 5.195403e-01 6.400824e-07 -1.706489e-09 6.423167e-04
0.000719941    2.974100e-02 4.512370e-04 5.175041e-01 2.974022e-02 4.512372e-04 5.168617e-01 7.812639e-07 -2.279933e-10 6.424491e-04
0.000873879    2.976497e-02 7.279228e-04 5.156130e-01 2.976402e-02 7.279196e-04 5.149704e-01 9.512404e-07 3.144591e-09 6.425795e-04
0.00105849     2.979184e-02 -6.071181e-04 5.142373e-01 2.979068e-02 -6.071175e-04 5.135946e-01 1.154978e-06 -6.493317e-10 6.427108e-04
0.00127986     2.983533e-02 -4.978753e-04 5.132375e-01 2.983393e-02 -4.978705e-04 5.125947e-01 1.399086e-06 -4.843937e-09 6.428459e-04
0.00154526     2.982504e-02 6.976384e-04 5.124774e-01 2.982335e-02 6.976378e-04 5.118344e-01 1.692377e-06 6.745086e-10 6.429869e-04
0.00186392     2.987460e-02 2.785511e-04 5.119470e-01 2.987255e-02 2.785468e-04 5.113039e-01 2.045074e-06 4.281228e-09 6.431366e-04
0.00224581     2.991758e-02 -7.221509e-04 5.115298e-01 2.991511e-02 -7.221462e-04 5.108865e-01 2.468352e-06 -4.655068e-09 6.432959e-04
0.0027048      2.994153e-02 -5.424006e-05 5.112372e-01 2.993855e-02 -5.423375e-05 5.105937e-01 2.977931e-06 -6.308711e-09 6.434669e-04
