# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
2.20005e-05    -2.854451e-04 -2.923030e-03 -6.404264e-10 -2.854452e-04 -2.923029e-03 -6.400400e-10 7.080851e-11 -1.456639e-09 -3.864289e-13
3.64017e-05    -2.853352e-04 -2.618058e-03 -4.740904e-10 -2.853351e-04 -2.618055e-03 -4.748239e-10 -6.314348e-11 -2.824245e-09 7.334919e-13
5.36833e-05    9.075411e-05 -2.578757e-03 1.266367e-11 9.075413e-05 -2.578752e-03 1.256540e-11 -1.964733e-11 -4.508295e-09 9.826636e-14
7.44211e-05    9.708677e-05 -2.743239e-03 -1.762764e-11 9.708671e-05 -2.743232e-03 -1.785642e-11 5.753829e-11 -6.642710e-09 2.287769e-13
9.93055e-05    -9.310401e-05 -2.744038e-03 -6.633600e-13 -9.310398e-05 -2.744029e-03 -1.024005e-12 -3.038066e-11 -9.201466e-09 3.606449e-13
0.000129165    -1.206923e-04 -2.740238e-03 6.915446e-12 -1.206921e-04 -2.740226e-03 5.345062e-12 -1.666276e-10 -1.227103e-08 1.570384e-12
0.00016499     1.921054e-04 -2.743948e-03 9.711079e-12 1.921053e-04 -2.743932e-03 7.285892e-12 9.549111e-11 -1.595707e-08 2.425187e-12
0.000207972    1.009933e-04 -2.744454e-03 5.283039e-12 1.009930e-04 -2.744433e-03 1.169962e-12 2.590210e-10 -2.038051e-08 4.113077e-12
0.000259549    -2.871979e-04 -2.744238e-03 1.155767e-11 -2.871976e-04 -2.744212e-03 6.514753e-12 -3.025413e-10 -2.568705e-08 5.042919e-12
0.000321429    -4.343882e-05 -2.745623e-03 1.863200e-11 -4.343841e-05 -2.745591e-03 1.131378e-11 -4.062411e-10 -3.205840e-08 7.318222e-12
0.000395657    4.143818e-04 -2.745916e-03 1.233506e-11 4.143810e-04 -2.745876e-03 3.220316e-12 7.613449e-10 -3.970195e-08 9.114743e-12
0.000484757    -7.366896e-05 -2.745943e-03 1.141613e-11 -7.366947e-05 -2.745894e-03 -1.037541e-12 5.058994e-10 -4.887902e-08 1.245367e-11
0.000591659    -5.437445e-04 -2.745450e-03 2.772609e-11 -5.437428e-04 -2.745390e-03 1.290971e-11 -1.698132e-09 -5.988787e-08 1.481638e-11
0.000719941    2.816133e-04 -2.747422e-03 2.525274e-11 2.816136e-04 -2.747349e-03 5.116939e-12 -3.324564e-10 -7.310925e-08 2.013580e-11
