# Moment      
# CofR        : (0.000000e+00 0.000000e+00 0.000000e+00)
#
# Time        	total_x total_y total_z	pressure_x pressure_y pressure_z	viscous_x viscous_y viscous_z
2.20005e-05    -1.918560e-04 -3.109727e-03 -8.412062e-10 -1.918560e-04 -3.109725e-03 -8.403925e-10 9.272586e-11 -1.500288e-09 -8.136519e-13
3.64017e-05    -5.675504e-04 -2.505598e-03 -4.021345e-10 -5.675503e-04 -2.505595e-03 -4.019972e-10 -1.349110e-10 -2.839998e-09 -1.372881e-13
5.36833e-05    1.666636e-04 -2.543694e-03 -4.405445e-12 1.666637e-04 -2.543690e-03 -3.924353e-12 -5.698669e-11 -4.504010e-09 -4.810922e-13
7.44211e-05    8.918231e-05 -2.742129e-03 -3.859617e-11 8.918229e-05 -2.742123e-03 -3.773174e-11 1.478043e-11 -6.638817e-09 -8.644306e-13
9.93055e-05    -7.834483e-05 -2.740816e-03 -1.967027e-11 -7.834478e-05 -2.740806e-03 -1.878696e-11 -4.094254e-11 -9.196349e-09 -8.833118e-13
0.000129165    -7.317807e-05 -2.740308e-03 -3.592718e-12 -7.317795e-05 -2.740295e-03 -2.676987e-12 -1.202427e-10 -1.226537e-08 -9.157304e-13
0.00016499     1.070364e-04 -2.743783e-03 -2.887027e-13 1.070364e-04 -2.743767e-03 3.673725e-14 2.385920e-12 -1.594960e-08 -3.254399e-13
0.000207972    3.729072e-05 -2.744403e-03 -5.428866e-12 3.729065e-05 -2.744382e-03 -4.479407e-12 7.167885e-11 -2.037172e-08 -9.494586e-13
0.000259549    -1.011836e-04 -2.745251e-03 -7.393963e-12 -1.011835e-04 -2.745225e-03 -5.761579e-12 -9.944376e-11 -2.567715e-08 -1.632384e-12
0.000321429    -6.368676e-06 -2.744141e-03 -5.093572e-12 -6.368543e-06 -2.744109e-03 -3.363391e-12 -1.323207e-10 -3.204290e-08 -1.730181e-12
0.000395657    9.826461e-05 -2.747153e-03 2.765259e-12 9.826449e-05 -2.747113e-03 3.987237e-12 1.165590e-10 -3.968304e-08 -1.221978e-12
0.000484757    -1.995024e-05 -2.745605e-03 -5.528222e-12 -1.995032e-05 -2.745557e-03 -4.567217e-12 8.636456e-11 -4.885742e-08 -9.610048e-13
0.000591659    -8.505748e-05 -2.745686e-03 9.882353e-13 -8.505725e-05 -2.745626e-03 -1.541720e-13 -2.302083e-10 -5.986298e-08 1.142407e-12
0.000719941    4.172643e-05 -2.746732e-03 -1.035756e-12 4.172652e-05 -2.746659e-03 -2.483089e-12 -8.785050e-11 -7.307518e-08 1.447333e-12
0.000873879    6.753925e-05 -2.747982e-03 4.523065e-12 6.753896e-05 -2.747893e-03 2.132953e-12 2.887346e-10 -8.894847e-08 2.390112e-12
0.00105849     -5.607892e-05 -2.750348e-03 -4.581508e-12 -5.607890e-05 -2.750240e-03 -7.827515e-12 -1.756388e-11 -1.079959e-07 3.246007e-12
0.00127986     -4.626033e-05 -2.754279e-03 -7.458483e-12 -4.625993e-05 -2.754148e-03 -9.904249e-12 -4.038628e-10 -1.308666e-07 2.445766e-12
0.00154526     6.482606e-05 -2.752497e-03 3.564636e-12 6.482592e-05 -2.752339e-03 2.140401e-12 1.391518e-10 -1.582818e-07 1.424235e-12
0.00186392     2.570149e-05 -2.756179e-03 1.079319e-12 2.570101e-05 -2.755988e-03 2.091878e-14 4.800666e-10 -1.912708e-07 1.058400e-12
0.00224581     -6.686405e-05 -2.759911e-03 7.691671e-12 -6.686370e-05 -2.759681e-03 7.047211e-12 -3.538536e-10 -2.308413e-07 6.444599e-13
0.0027048      -5.276936e-06 -2.760682e-03 -1.628896e-11 -5.276404e-06 -2.760404e-03 -1.615507e-11 -5.327825e-10 -2.784465e-07 -1.338964e-13
0.00325454     6.104851e-05 -2.767145e-03 -6.568882e-11 6.104793e-05 -2.766810e-03 -7.082540e-11 5.832275e-10 -3.356610e-07 5.136576e-12
0.00391274     -1.191507e-05 -2.773048e-03 -7.664075e-12 -1.191552e-05 -2.772644e-03 -1.552542e-11 4.504462e-10 -4.043576e-07 7.861340e-12
0.00470043     -5.134739e-05 -2.779955e-03 -2.962212e-11 -5.134644e-05 -2.779468e-03 -3.162748e-11 -9.490047e-10 -4.868205e-07 2.005356e-12
0.00564408     2.536921e-05 -2.784808e-03 -9.686523e-11 2.536950e-05 -2.784223e-03 -7.526347e-11 -2.921512e-10 -5.858077e-07 -2.160175e-11
0.00678102     4.028208e-05 -2.785573e-03 -3.987359e-11 4.028072e-05 -2.784867e-03 -1.906955e-11 1.353962e-09 -7.054859e-07 -2.080403e-11
