x,y,z,alpha.water
0,0.125,-0.125,0.999999
7.58942e-19,0.125,-0.120834,1
1.51788e-18,0.125,-0.116667,1
1.35525e-19,0.125,-0.116667,1
-4.74338e-19,0.125,-0.1125,1
-1.0842e-18,0.125,-0.108333,1
-1.40946e-18,0.125,-0.104167,1
-1.73472e-18,0.125,-0.1,1
-1.95156e-18,0.125,-0.0958334,1
-2.1684e-18,0.125,-0.0916667,1
-2.14977e-18,0.125,-0.0875,1
-2.13113e-18,0.125,-0.0833333,1
-2.04135e-18,0.125,-0.08125,1
-1.95156e-18,0.125,-0.0791667,1
-2.11419e-18,0.125,-0.0781251,1
-2.27682e-18,0.125,-0.0770835,1
-2.07862e-18,0.125,-0.0760418,1
-1.88041e-18,0.125,-0.075,1
-1.75336e-18,0.125,-0.0739584,1
-1.6263e-18,0.125,-0.0729167,1
-1.57209e-18,0.125,-0.071875,1
-1.51788e-18,0.125,-0.0708333,1
-1.73472e-18,0.125,-0.0697917,1
-1.95156e-18,0.125,-0.0687501,1
-1.82705e-18,0.125,-0.0677084,1
-1.70254e-18,0.125,-0.0666667,1
-1.66442e-18,0.125,-0.0656251,1
-1.6263e-18,0.125,-0.0645834,1
-1.57209e-18,0.125,-0.0635417,1
-1.51788e-18,0.125,-0.0625,1
-1.51788e-18,0.125,-0.0614584,1
-1.51788e-18,0.125,-0.0604167,1
-1.26123e-18,0.125,-0.059375,1
-1.00458e-18,0.125,-0.0583333,1
-1.04439e-18,0.125,-0.0572917,1
-1.0842e-18,0.125,-0.05625,1
-1.13841e-18,0.125,-0.0552084,1
-1.19262e-18,0.125,-0.0541667,1
-1.51788e-18,0.125,-0.0531251,1
-1.84314e-18,0.125,-0.0520834,1
-1.9829e-18,0.125,-0.0510417,1
-2.12266e-18,0.125,-0.05,1
-2.09132e-18,0.125,-0.0489583,1
-2.05998e-18,0.125,-0.0479166,1
-2.22261e-18,0.125,-0.046875,1
-2.38524e-18,0.125,-0.0458333,1
-2.33103e-18,0.125,-0.0447917,1
-2.27682e-18,0.125,-0.04375,1
-2.24464e-18,0.125,-0.0427084,1
-2.21245e-18,0.125,-0.0416667,1
-2.40727e-18,0.125,-0.0406251,1
-2.60209e-18,0.125,-0.0395834,1
-2.71051e-18,0.125,-0.0385417,1
-2.81893e-18,0.125,-0.0375,0.999999
-3.03577e-18,0.125,-0.0364583,0.999999
-3.25261e-18,0.125,-0.0354167,0.999998
-3.21957e-18,0.125,-0.034375,0.999998
-3.18654e-18,0.125,-0.0333333,1
-3.43641e-18,0.125,-0.0322917,1
-3.68629e-18,0.125,-0.03125,1
-3.57787e-18,0.125,-0.0302084,1
-3.46945e-18,0.125,-0.0291667,1
-3.50333e-18,0.125,-0.028125,1
-3.53721e-18,0.125,-0.0270833,1
-4.99277e-09,0.125,-0.0270833,1
-4.99277e-09,0.125,-0.0260416,1
-4.99277e-09,0.125,-0.025,1
-4.99277e-09,0.125,-0.0239584,1
-4.99277e-09,0.125,-0.0229167,1
-4.99277e-09,0.125,-0.021875,1
-4.99277e-09,0.125,-0.0208333,1
-4.99277e-09,0.125,-0.0197917,1
-4.99277e-09,0.125,-0.01875,1
-4.99277e-09,0.125,-0.0177084,1
-4.99277e-09,0.125,-0.0166667,1
-4.99277e-09,0.125,-0.015625,1
-4.99277e-09,0.125,-0.0145833,1
-4.99277e-09,0.125,-0.0135417,1
-4.99277e-09,0.125,-0.0125,0.999998
-4.99277e-09,0.125,-0.0114584,0.999998
3.45589e-19,0.125,-0.0104167,0.999981
-4.99277e-09,0.125,-0.0104167,0.999998
3.44742e-19,0.125,-0.00937501,0.999981
3.43895e-19,0.125,-0.00833333,0.99981
6.35275e-20,0.125,-0.00729166,0.99981
-2.1684e-19,0.125,-0.00625,0.997128
