x,y,z,alpha.water
0,0.1,-0.125,1
5.69206e-19,0.1,-0.120833,1
1.13841e-18,0.1,-0.116667,1
8.42798e-19,0.1,-0.1125,1
5.47183e-19,0.1,-0.108333,1
-1.0842e-19,0.1,-0.108333,1
-8.13152e-20,0.1,-0.104167,1
-5.42101e-20,0.1,-0.1,1
8.13152e-20,0.1,-0.0958334,1
2.1684e-19,0.1,-0.0916667,1
1.67713e-19,0.1,-0.0875,1
1.18585e-19,0.1,-0.0833333,1.00001
5.0822e-21,0.1,-0.08125,1.00001
-1.0842e-19,0.1,-0.0791667,1.00001
0,0.1,-0.0781251,1.00001
1.0842e-19,0.1,-0.0770834,1.00001
8.63974e-20,0.1,-0.0760417,1.00001
6.43745e-20,0.1,-0.075,1.00001
8.63974e-20,0.1,-0.0739584,1.00001
1.0842e-19,0.1,-0.0729167,1.00001
3.25261e-19,0.1,-0.071875,1.00001
5.42101e-19,0.1,-0.0708333,1.00001
2.71051e-19,0.1,-0.0697917,1.00001
0,0.1,-0.0687501,1.00001
5.1669e-20,0.1,-0.0677084,1.00001
1.03338e-19,0.1,-0.0666667,1.00001
1.60089e-19,0.1,-0.065625,1.00001
2.1684e-19,0.1,-0.0645833,1.00001
5.42101e-20,0.1,-0.0635417,1.00001
-1.0842e-19,0.1,-0.0625,1.00001
-1.0842e-19,0.1,-0.0614584,1.00001
-1.0842e-19,0.1,-0.0604167,1.00001
-2.09429e-19,0.1,-0.059375,1.00001
-3.10438e-19,0.1,-0.0583333,1.00001
-2.63639e-19,0.1,-0.0572917,1.00001
-2.1684e-19,0.1,-0.05625,1.00001
-1.0842e-19,0.1,-0.0552084,1.00001
0,0.1,-0.0541667,1.00001
0,0.1,-0.0531251,1.00001
0,0.1,-0.0520834,1.00001
-2.03076e-19,0.1,-0.0510417,1.00001
-4.06152e-19,0.1,-0.05,1.00001
-3.11496e-19,0.1,-0.0489583,1.00001
-2.1684e-19,0.1,-0.0479166,1.00001
-1.6263e-19,0.1,-0.046875,1.00001
-1.0842e-19,0.1,-0.0458333,1.00001
-5.42101e-20,0.1,-0.0447917,1.00001
0,0.1,-0.04375,1
2.15993e-20,0.1,-0.0427084,1
4.31987e-20,0.1,-0.0416667,1
2.15993e-20,0.1,-0.040625,1
0,0.1,-0.0395833,1
0,0.1,-0.0385417,1
0,0.1,-0.0375,1
0,0.1,-0.0364583,1
0,0.1,-0.0354166,1
1.01644e-20,0.1,-0.034375,1
2.03288e-20,0.1,-0.0333333,1
1.01644e-20,0.1,-0.0322917,1
0,0.1,-0.03125,1
1.0842e-19,0.1,-0.0302084,1
2.1684e-19,0.1,-0.0291667,1
2.1684e-19,0.1,-0.028125,1
2.1684e-19,0.1,-0.0270834,1
2.67027e-19,0.1,-0.0260417,1
3.17214e-19,0.1,-0.025,1
3.75447e-19,0.1,-0.0239584,1
4.33681e-19,0.1,-0.0229167,1
4.33681e-19,0.1,-0.021875,1
4.33681e-19,0.1,-0.0208333,1
3.25261e-19,0.1,-0.0197917,1
2.1684e-19,0.1,-0.01875,1
2.67027e-19,0.1,-0.0177084,1
3.17214e-19,0.1,-0.0166667,1
3.75447e-19,0.1,-0.015625,1
4.33681e-19,0.1,-0.0145834,0.999999
4.33681e-19,0.1,-0.0135417,0.999999
4.33681e-19,0.1,-0.0125,0.999995
4.33681e-19,0.1,-0.0114584,0.999995
4.33681e-19,0.1,-0.0104167,0.999931
5.16267e-19,0.1,-0.00937502,0.999931
5.98852e-19,0.1,-0.00833333,0.999026
5.00967e-19,0.1,-0.00729167,0.999026
4.03082e-19,0.1,-0.00625,0.999026
2.4691e-19,0.1,-0.00625,0.98752
3.40295e-19,0.1,-0.00520833,0.98752
4.33681e-19,0.1,-0.00416667,0.869876
4.33681e-19,0.1,-0.003125,0.869876
4.33681e-19,0.1,-0.00208333,0.409484
3.04826e-19,0.1,-0.00104166,0.409484
1.75971e-19,0.1,8.1245e-11,0.066133
2.50616e-19,0.1,0.00104167,0.066133
3.25261e-19,0.1,0.00208334,0.00713356
3.25261e-19,0.1,0.00312501,0.00713356
3.25261e-19,0.1,0.00416667,0.000847044
3.25261e-19,0.1,0.00520834,0.000847044
3.25261e-19,0.1,0.00625,0.000169353
2.50298e-19,0.1,0.00729167,0.000169353
1.75336e-19,0.1,0.00833333,4.02447e-05
1.41878e-19,0.1,0.00937502,4.02447e-05
1.0842e-19,0.1,0.0104167,8.85576e-06
1.0842e-19,0.1,0.0114584,8.85576e-06
1.0842e-19,0.1,0.0125,1.78117e-06
1.6263e-19,0.1,0.0135417,1.78117e-06
2.1684e-19,0.1,0.0145834,3.28142e-07
2.17687e-19,0.1,0.015625,3.28142e-07
2.18535e-19,0.1,0.0166667,5.24574e-08
1.63477e-19,0.1,0.0177084,5.24574e-08
1.0842e-19,0.1,0.01875,1.35405e-08
1.0842e-19,0.1,0.0197917,1.35405e-08
1.0842e-19,0.1,0.0208333,7.45334e-09
1.0842e-19,0.1,0.021875,7.45334e-09
1.0842e-19,0.1,0.0229167,6.3083e-09
2.18111e-19,0.1,0.0239584,6.3083e-09
3.27802e-19,0.1,0.025,8.2394e-09
3.26531e-19,0.1,0.0260417,8.2394e-09
3.25261e-19,0.1,0.0270834,5.50828e-09
3.25261e-19,0.1,0.028125,5.50828e-09
3.25261e-19,0.1,0.0291667,2.04462e-09
1.0842e-19,0.1,0.0302084,2.04462e-09
-1.0842e-19,0.1,0.03125,1.47277e-09
-9.35971e-20,0.1,0.0322917,1.47277e-09
-7.87741e-20,0.1,0.0333333,1.73533e-09
6.90332e-20,0.1,0.034375,1.73533e-09
2.1684e-19,0.1,0.0354166,1.94814e-09
2.1684e-19,0.1,0.0364583,1.94814e-09
2.1684e-19,0.1,0.0375,1.81797e-09
1.0842e-19,0.1,0.0385417,1.81797e-09
0,0.1,0.0395833,1.67159e-09
-1.36161e-19,0.1,0.040625,1.67159e-09
-2.72321e-19,0.1,0.0416667,1.67119e-09
-1.90371e-19,0.1,0.0427084,1.67119e-09
-1.0842e-19,0.1,0.04375,1.70967e-09
-1.0842e-19,0.1,0.0447917,1.70967e-09
-1.0842e-19,0.1,0.0458334,1.80807e-09
-1.6263e-19,0.1,0.0468751,1.80807e-09
-2.1684e-19,0.1,0.0479167,1.81765e-09
-2.83121e-19,0.1,0.0489584,1.81765e-09
-3.49401e-19,0.1,0.0500001,1.77934e-09
-3.91541e-19,0.1,0.0510418,1.77934e-09
-4.33681e-19,0.1,0.0520836,1.7232e-09
-4.87891e-19,0.1,0.0531252,1.7232e-09
-5.42101e-19,0.1,0.0541669,1.71816e-09
-5.96311e-19,0.1,0.0552086,1.71816e-09
-6.50521e-19,0.1,0.0562503,1.72374e-09
-5.95252e-19,0.1,0.057292,1.72374e-09
-5.39984e-19,0.1,0.0583337,1.71857e-09
-6.49463e-19,0.1,0.0593755,1.71857e-09
-7.58942e-19,0.1,0.0604172,1.70801e-09
-8.67362e-19,0.1,0.0614589,1.70801e-09
